## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[alignments/SRR5448114.Aligned.out.sorted.bam] OUTPUT=alignments/SRR5448114..Aligned.out.sorted.markdup.bam METRICS_FILE=alignments/SRR5448114..marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 10:51:00 EST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	4109	4733088	1894429	0	1640	313946	0	0.066474	34082521

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	4227403	4227403
2.0	1.87034	142168	142168
3.0	2.627832	27168	27168
4.0	3.287107	9620	9620
5.0	3.8609	4697	4697
6.0	4.360296	2521	2521
7.0	4.794939	1499	1499
8.0	5.173227	1002	1002
9.0	5.502466	659	659
10.0	5.789016	498	498
11.0	6.038412	363	363
12.0	6.255471	277	277
13.0	6.444386	222	222
14.0	6.608807	169	169
15.0	6.751908	130	130
16.0	6.876455	106	106
17.0	6.984854	80	80
18.0	7.079197	80	80
19.0	7.161308	49	49
20.0	7.232772	42	42
21.0	7.294971	53	53
22.0	7.349104	41	41
23.0	7.396219	37	37
24.0	7.437225	25	25
25.0	7.472914	18	18
26.0	7.503975	21	21
27.0	7.531009	10	10
28.0	7.554538	19	19
29.0	7.575016	15	15
30.0	7.592839	12	12
31.0	7.608351	10	10
32.0	7.621852	18	18
33.0	7.633602	6	6
34.0	7.643829	4	4
35.0	7.652729	6	6
36.0	7.660476	7	7
37.0	7.667218	7	7
38.0	7.673086	4	4
39.0	7.678193	8	8
40.0	7.682638	2	2
41.0	7.686507	5	5
42.0	7.689874	2	2
43.0	7.692804	4	4
44.0	7.695355	4	4
45.0	7.697574	2	2
46.0	7.699506	3	3
47.0	7.701188	4	4
48.0	7.702651	4	4
49.0	7.703925	3	3
50.0	7.705034	3	3
51.0	7.705998	4	4
52.0	7.706838	0	0
53.0	7.707569	4	4
54.0	7.708205	2	2
55.0	7.708759	2	2
56.0	7.70924	2	2
57.0	7.70966	2	2
58.0	7.710025	1	1
59.0	7.710342	0	0
60.0	7.710619	0	0
61.0	7.71086	0	0
62.0	7.711069	0	0
63.0	7.711251	1	1
64.0	7.71141	0	0
65.0	7.711548	0	0
66.0	7.711668	0	0
67.0	7.711773	0	0
68.0	7.711864	1	1
69.0	7.711943	0	0
70.0	7.712012	0	0
71.0	7.712072	1	1
72.0	7.712124	0	0
73.0	7.71217	0	0
74.0	7.712209	1	1
75.0	7.712244	0	0
76.0	7.712274	1	1
77.0	7.7123	0	0
78.0	7.712322	0	0
79.0	7.712342	0	0
80.0	7.712359	0	0
81.0	7.712374	0	0
82.0	7.712387	0	0
83.0	7.712399	1	1
84.0	7.712408	2	2
85.0	7.712417	0	0
86.0	7.712425	0	0
87.0	7.712431	0	0
88.0	7.712437	0	0
89.0	7.712442	0	0
90.0	7.712446	0	0
91.0	7.71245	0	0
92.0	7.712453	0	0
93.0	7.712456	0	0
94.0	7.712458	1	1
95.0	7.71246	0	0
96.0	7.712462	0	0
97.0	7.712464	0	0
98.0	7.712465	0	0
99.0	7.712466	0	0
100.0	7.712468	0	0
109.0	0	1	1
110.0	0	1	1
111.0	0	1	1
130.0	0	1	1
165.0	0	1	1
222.0	0	1	1

