Sample	picard_mark_duplicates-PERCENT_DUPLICATION	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter
SRR5448113	7.7477	100.0	4.226912	IU	4.834442	4.735353	97.95	4.251202	87.94	0.484151							
SRR5448113_STARpass1					4.834442	4.734912	97.94	4.252611	87.96	0.482301							
SRR5448113_subsample_1											4.53918	97.86930000000001	479.24744599999997	9.668884	50.32	96.68884	0.2134
SRR5448114	6.6474	100.0	4.250665	IU	4.837489	4.737197	97.91999999999999	4.28088	88.49	0.456317							
SRR5448114_STARpass1					4.837489	4.736687	97.91	4.282775	88.53	0.453912							
SRR5448114_subsample_1											3.82712	97.8227	479.28916899999996	9.674978	50.415699999999994	96.74978	0.2195
SRR5448115	7.9253	100.0	4.222871	IU	4.8382179999999995	4.735758	97.88	4.249026	87.82	0.486732							
SRR5448115_STARpass1					4.8382179999999995	4.73532	97.88	4.250243	87.85	0.485077							
SRR5448115_subsample_1											4.66266	97.85669999999999	479.57658799999996	9.676435999999999	50.320600000000006	96.76436000000001	0.21427999999999997
SRR5448116	7.2007	100.0	4.294536	IU	4.828507999999999	4.73037	97.97	4.287106	88.79	0.443264							
SRR5448116_STARpass1					4.828507999999999	4.730109	97.96	4.2887189999999995	88.82	0.44139							
SRR5448116_subsample_1											4.24678	97.8522	478.494956	9.657015999999999	50.467600000000004	96.57016	0.23887999999999998
SRR5448117	7.5046	100.0	4.192229	IU	4.821372	4.716437	97.82	4.2528749999999995	88.21	0.463562							
SRR5448117_STARpass1					4.821372	4.716112	97.82	4.254207	88.24	0.46190499999999995							
SRR5448117_subsample_1											4.45172	97.7551	477.233228	9.642744	50.3278	96.42744	0.22744000000000003
SRR5448118	7.0356000000000005	100.0	4.2625079999999995	IU	4.830888	4.72041	97.71000000000001	4.2713849999999995	88.42	0.44902499999999995							
SRR5448118_STARpass1					4.830888	4.720162	97.71	4.273186	88.46	0.446976							
SRR5448118_subsample_1											4.20674	97.8119	478.558497	9.661776	50.5765	96.61776	0.2421
