Module	Section	Sample Name	Source
Picard	DuplicationMetrics	SRR5448117	/gpfs/projects/GenomicsCore/BGE510/alignments/SRR5448117.marked_dup_metrics.txt
Picard	DuplicationMetrics	SRR5448113	/gpfs/projects/GenomicsCore/BGE510/alignments/SRR5448113.marked_dup_metrics.txt
Picard	DuplicationMetrics	SRR5448115	/gpfs/projects/GenomicsCore/BGE510/alignments/SRR5448115.marked_dup_metrics.txt
Picard	DuplicationMetrics	SRR5448116	/gpfs/projects/GenomicsCore/BGE510/alignments/SRR5448116.marked_dup_metrics.txt
Picard	DuplicationMetrics	SRR5448114	/gpfs/projects/GenomicsCore/BGE510/alignments/SRR5448114.marked_dup_metrics.txt
Picard	DuplicationMetrics	SRR5448118	/gpfs/projects/GenomicsCore/BGE510/alignments/SRR5448118.marked_dup_metrics.txt
Salmon	all_sections	SRR5448116	/gpfs/projects/GenomicsCore/BGE510/quant/SRR5448116/libParams/flenDist.txt
Salmon	all_sections	SRR5448118	/gpfs/projects/GenomicsCore/BGE510/quant/SRR5448118/libParams/flenDist.txt
Salmon	all_sections	SRR5448114	/gpfs/projects/GenomicsCore/BGE510/quant/SRR5448114/libParams/flenDist.txt
Salmon	all_sections	SRR5448113	/gpfs/projects/GenomicsCore/BGE510/quant/SRR5448113/libParams/flenDist.txt
Salmon	all_sections	SRR5448115	/gpfs/projects/GenomicsCore/BGE510/quant/SRR5448115/libParams/flenDist.txt
Salmon	all_sections	SRR5448117	/gpfs/projects/GenomicsCore/BGE510/quant/SRR5448117/libParams/flenDist.txt
STAR	SummaryLog	Log.final.out	/gpfs/projects/GenomicsCore/BGE510/alignments/SRR5448115_STARpass1/Log.final.out
STAR	SummaryLog	SRR5448117	/gpfs/projects/GenomicsCore/BGE510/alignments/SRR5448117Log.final.out
STAR	SummaryLog	SRR5448116	/gpfs/projects/GenomicsCore/BGE510/alignments/SRR5448116Log.final.out
STAR	SummaryLog	SRR5448113	/gpfs/projects/GenomicsCore/BGE510/alignments/SRR5448113Log.final.out
STAR	SummaryLog	SRR5448118	/gpfs/projects/GenomicsCore/BGE510/alignments/SRR5448118Log.final.out
STAR	SummaryLog	SRR5448115	/gpfs/projects/GenomicsCore/BGE510/alignments/SRR5448115Log.final.out
STAR	SummaryLog	SRR5448114	/gpfs/projects/GenomicsCore/BGE510/alignments/SRR5448114Log.final.out
fastp	all_sections	SRR5448118_subsample_1	/gpfs/projects/GenomicsCore/BGE510/QC/SRR5448118_report.json
fastp	all_sections	SRR5448114_subsample_1	/gpfs/projects/GenomicsCore/BGE510/QC/SRR5448114_report.json
fastp	all_sections	SRR5448117_subsample_1	/gpfs/projects/GenomicsCore/BGE510/QC/SRR5448117_report.json
fastp	all_sections	SRR5448115_subsample_1	/gpfs/projects/GenomicsCore/BGE510/QC/SRR5448115_report.json
fastp	all_sections	SRR5448113_subsample_1	/gpfs/projects/GenomicsCore/BGE510/QC/SRR5448113_report.json
fastp	all_sections	SRR5448116_subsample_1	/gpfs/projects/GenomicsCore/BGE510/QC/SRR5448116_report.json
