Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
SRR5448113	4834442.0	101.0	4251202.0	87.94	100.97	1676057.0	1674788.0	1659207.0	14351.0	1699.0	800.0	0.13	0.0	1.49	0.0	1.26	484151.0	10.01	16608.0	0.34	0.0	1.56	0.14	0	75688	6793	97.95	4735353.0
SRR5448113_STARpass1	4834442.0	101.0	4252611.0	87.96	100.97	1675069.0	1667237.0	1658296.0	14278.0	1699.0	796.0	0.13	0.0	1.49	0.0	1.26	482301.0	9.98	17166.0	0.36	0.0	1.56	0.14	0	75581	6783	97.94	4734912.0
SRR5448114	4837489.0	101.0	4280880.0	88.49	100.97	1692147.0	1690908.0	1674917.0	14405.0	2030.0	795.0	0.13	0.01	1.5	0.0	1.28	456317.0	9.43	15007.0	0.31	0.0	1.63	0.13	0	78986	6299	97.91999999999999	4737197.0
SRR5448114_STARpass1	4837489.0	101.0	4282775.0	88.53	100.97	1691304.0	1683299.0	1674368.0	14304.0	1836.0	796.0	0.13	0.01	1.5	0.0	1.28	453912.0	9.38	15540.0	0.32	0.0	1.63	0.13	0	78964	6298	97.91	4736687.0
SRR5448115	4838218.0	101.0	4249026.0	87.82	100.99	1710418.0	1709170.0	1692451.0	15446.0	1704.0	817.0	0.13	0.01	1.51	0.0	1.28	486732.0	10.06	18341.0	0.38	0.0	1.57	0.16	0	76339	7780	97.88	4735758.0
SRR5448115_STARpass1	4838218.0	101.0	4250243.0	87.85	100.99	1709371.0	1701190.0	1691559.0	15294.0	1703.0	815.0	0.13	0.01	1.51	0.0	1.28	485077.0	10.03	18940.0	0.39	0.0	1.57	0.16	0	76193	7765	97.88	4735320.0
SRR5448116	4828508.0	101.0	4287106.0	88.79	100.96	1830358.0	1829064.0	1810375.0	17150.0	1913.0	920.0	0.13	0.0	1.51	0.0	1.25	443264.0	9.18	18704.0	0.39	0.0	1.51	0.14	0	72694	6740	97.97	4730370.0
SRR5448116_STARpass1	4828508.0	101.0	4288719.0	88.82	100.96	1829456.0	1820611.0	1809549.0	17093.0	1892.0	922.0	0.13	0.0	1.51	0.0	1.25	441390.0	9.14	19275.0	0.4	0.0	1.51	0.13	0	72852	6272	97.96	4730109.0
SRR5448117	4821372.0	101.0	4252875.0	88.21	100.92	1678776.0	1677473.0	1659917.0	16205.0	1896.0	758.0	0.13	0.0	1.51	0.0	1.26	463562.0	9.61	17138.0	0.36	0.0	1.68	0.14	0	81043	6754	97.82	4716437.0
SRR5448117_STARpass1	4821372.0	101.0	4254207.0	88.24	100.92	1676492.0	1667165.0	1658402.0	15505.0	1830.0	755.0	0.13	0.0	1.51	0.0	1.27	461905.0	9.58	17776.0	0.37	0.0	1.67	0.14	0	80717	6767	97.82	4716112.0
SRR5448118	4830888.0	101.0	4271385.0	88.42	100.96	1789498.0	1788137.0	1770418.0	16329.0	1852.0	899.0	0.13	0.01	1.55	0.0	1.27	449025.0	9.29	19557.0	0.4	0.0	1.74	0.14	0	84150	6771	97.71000000000001	4720410.0
SRR5448118_STARpass1	4830888.0	101.0	4273186.0	88.46	100.95	1788734.0	1780207.0	1769768.0	16289.0	1778.0	899.0	0.13	0.01	1.55	0.0	1.27	446976.0	9.25	19935.0	0.41	0.0	1.74	0.14	0	84030	6761	97.71	4720162.0
