Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR5448113	4251202.0	484151.0	16608.0	75688.0	6793.0
SRR5448113_STARpass1	4252611.0	482301.0	17166.0	75581.0	6783.0
SRR5448114	4280880.0	456317.0	15007.0	78986.0	6299.0
SRR5448114_STARpass1	4282775.0	453912.0	15540.0	78964.0	6298.0
SRR5448115	4249026.0	486732.0	18341.0	76339.0	7780.0
SRR5448115_STARpass1	4250243.0	485077.0	18940.0	76193.0	7765.0
SRR5448116	4287106.0	443264.0	18704.0	72694.0	6740.0
SRR5448116_STARpass1	4288719.0	441390.0	19275.0	72852.0	6272.0
SRR5448117	4252875.0	463562.0	17138.0	81043.0	6754.0
SRR5448117_STARpass1	4254207.0	461905.0	17776.0	80717.0	6767.0
SRR5448118	4271385.0	449025.0	19557.0	84150.0	6771.0
SRR5448118_STARpass1	4273186.0	446976.0	19935.0	84030.0	6761.0
