Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
SRR5448113	4.834442	97.95	87.94	0.484151	101.0	100.97	1.676057	1.674788	1.6592069999999999	0.014351	0.001699	0.0007999999999999999	0.13	0.0	1.49	0.0	1.26
SRR5448113_STARpass1	4.834442	97.94	87.96	0.482301	101.0	100.97	1.675069	1.6672369999999999	1.658296	0.014277999999999999	0.001699	0.0007959999999999999	0.13	0.0	1.49	0.0	1.26
SRR5448114	4.837489	97.91999999999999	88.49	0.456317	101.0	100.97	1.6921469999999998	1.6909079999999999	1.674917	0.014405	0.00203	0.0007949999999999999	0.13	0.01	1.5	0.0	1.28
SRR5448114_STARpass1	4.837489	97.91	88.53	0.453912	101.0	100.97	1.691304	1.6832989999999999	1.6743679999999999	0.014303999999999999	0.001836	0.0007959999999999999	0.13	0.01	1.5	0.0	1.28
SRR5448115	4.8382179999999995	97.88	87.82	0.486732	101.0	100.99	1.710418	1.7091699999999999	1.692451	0.015446	0.001704	0.0008169999999999999	0.13	0.01	1.51	0.0	1.28
SRR5448115_STARpass1	4.8382179999999995	97.88	87.85	0.485077	101.0	100.99	1.709371	1.70119	1.6915589999999998	0.015293999999999999	0.0017029999999999999	0.000815	0.13	0.01	1.51	0.0	1.28
SRR5448116	4.828507999999999	97.97	88.79	0.443264	101.0	100.96	1.830358	1.829064	1.8103749999999998	0.01715	0.001913	0.0009199999999999999	0.13	0.0	1.51	0.0	1.25
SRR5448116_STARpass1	4.828507999999999	97.96	88.82	0.44139	101.0	100.96	1.829456	1.820611	1.8095489999999999	0.017093	0.001892	0.000922	0.13	0.0	1.51	0.0	1.25
SRR5448117	4.821372	97.82	88.21	0.463562	101.0	100.92	1.6787759999999998	1.677473	1.6599169999999999	0.016205	0.001896	0.000758	0.13	0.0	1.51	0.0	1.26
SRR5448117_STARpass1	4.821372	97.82	88.24	0.46190499999999995	101.0	100.92	1.6764919999999999	1.667165	1.658402	0.015505	0.0018299999999999998	0.0007549999999999999	0.13	0.0	1.51	0.0	1.27
SRR5448118	4.830888	97.71000000000001	88.42	0.44902499999999995	101.0	100.96	1.7894979999999998	1.7881369999999999	1.7704179999999998	0.016329	0.001852	0.000899	0.13	0.01	1.55	0.0	1.27
SRR5448118_STARpass1	4.830888	97.71	88.46	0.446976	101.0	100.95	1.7887339999999998	1.7802069999999999	1.769768	0.016288999999999998	0.0017779999999999998	0.000899	0.13	0.01	1.55	0.0	1.27
