## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[alignments/SRR5448117.Aligned.out.sorted.bam] OUTPUT=alignments/SRR5448117..Aligned.out.sorted.markdup.bam METRICS_FILE=alignments/SRR5448117..marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 10:55:14 EST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	4721	4711716	1952117	0	1937	352806	0	0.075046	29871432

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	4156453	4156453
2.0	1.854078	146931	146931
3.0	2.583526	28761	28761
4.0	3.206532	11108	11108
5.0	3.738627	5323	5323
6.0	4.193078	3042	3042
7.0	4.581214	1904	1904
8.0	4.912712	1254	1254
9.0	5.195838	879	879
10.0	5.437649	614	614
11.0	5.644174	504	504
12.0	5.820563	331	331
13.0	5.971213	275	275
14.0	6.099879	199	199
15.0	6.20977	192	192
16.0	6.303626	145	145
17.0	6.383786	122	122
18.0	6.452249	117	117
19.0	6.510721	74	74
20.0	6.560662	80	80
21.0	6.603314	65	65
22.0	6.639743	58	58
23.0	6.670856	47	47
24.0	6.697429	42	42
25.0	6.720124	48	48
26.0	6.739508	36	36
27.0	6.756063	31	31
28.0	6.770202	22	22
29.0	6.782278	17	17
30.0	6.792592	15	15
31.0	6.801401	18	18
32.0	6.808925	17	17
33.0	6.81535	15	15
34.0	6.820838	11	11
35.0	6.825525	11	11
36.0	6.829529	9	9
37.0	6.832948	8	8
38.0	6.835868	7	7
39.0	6.838362	4	4
40.0	6.840492	5	5
41.0	6.842311	8	8
42.0	6.843865	5	5
43.0	6.845192	3	3
44.0	6.846325	6	6
45.0	6.847293	5	5
46.0	6.84812	6	6
47.0	6.848826	6	6
48.0	6.849429	4	4
49.0	6.849944	5	5
50.0	6.850384	5	5
51.0	6.85076	0	0
52.0	6.851081	5	5
53.0	6.851355	1	1
54.0	6.851589	4	4
55.0	6.851789	5	5
56.0	6.85196	4	4
57.0	6.852106	5	5
58.0	6.85223	0	0
59.0	6.852336	3	3
60.0	6.852427	0	0
61.0	6.852505	2	2
62.0	6.852571	0	0
63.0	6.852628	2	2
64.0	6.852676	2	2
65.0	6.852717	2	2
66.0	6.852753	0	0
67.0	6.852783	0	0
68.0	6.852809	1	1
69.0	6.852831	1	1
70.0	6.852849	1	1
71.0	6.852865	0	0
72.0	6.852879	3	3
73.0	6.852891	2	2
74.0	6.852901	2	2
75.0	6.852909	0	0
76.0	6.852916	2	2
77.0	6.852923	1	1
78.0	6.852928	0	0
79.0	6.852933	1	1
80.0	6.852936	0	0
81.0	6.85294	0	0
82.0	6.852943	2	2
83.0	6.852945	0	0
84.0	6.852947	0	0
85.0	6.852949	0	0
86.0	6.85295	0	0
87.0	6.852952	0	0
88.0	6.852953	0	0
89.0	6.852954	0	0
90.0	6.852954	0	0
91.0	6.852955	0	0
92.0	6.852956	0	0
93.0	6.852956	0	0
94.0	6.852957	0	0
95.0	6.852957	0	0
96.0	6.852957	0	0
97.0	6.852958	0	0
98.0	6.852958	1	1
99.0	6.852958	0	0
100.0	6.852958	0	0
104.0	0	1	1
112.0	0	1	1
113.0	0	1	1
120.0	0	1	1
127.0	0	1	1
134.0	0	1	1
136.0	0	1	1
147.0	0	2	2
219.0	0	1	1
242.0	0	1	1

