UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
2	5
0	2
0	0
0	0
0	35
1	84
15	134
0	17
1	84
5	0
6	24
0	70
0	31
1	73
115	140
0	73
0	60
1	28
0	26
0	102
0	54
8	16
30	436
0	424
0	34
0	0
0	3
0	3
0	2
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	221
2	332
2	62
2	233
0	28
0	6
1	289
0	75
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
0	17
9	6
0	0
0	6
8	255
0	12
0	4
1	95
0	212
0	37
0	96
3	0
0	26
0	1
0	6
0	22
1	2
0	35
0	0
0	1
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	32
0	0
0	0
0	0
0	0
61	259
0	27
0	0
0	190
0	2
0	59
8	0
2	7
4	250
0	242
0	152
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	37
0	2
0	0
0	0
0	0
0	0
0	0
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
89	1
0	11
1	11
0	0
0	0
0	9
0	0
0	0
0	488
0	0
0	0
0	0
0	0
0	0
45	61
0	61
0	10
3	3
0	15
265	20
0	20
0	8
0	0
0	0
0	0
0	0
0	0
0	200
0	197
0	204
0	1
0	150
0	171
0	3
0	0
1	203
0	5
0	15
0	165
3	10
4	24
0	0
0	3
0	0
2	1
0	0
1	3
1	50
12	29
0	24
0	39
1	40
0	0
59	210
0	197
1	13
0	1
0	3
0	3
0	0
0	1
0	0
0	0
0	0
19	373
0	192
0	259
0	157
17	220
0	106
3	43
1	0
0	0
40	214
4	5
0	5
0	28
0	1
0	29
3	27
0	4
0	27
0	4
0	4
2	190
0	9
0	0
21	3
1	24
0	17
0	15
1	11
0	1
0	2
0	57
0	3
3	8
1	2
0	29
333	441
0	47
0	60
5	37
0	0
0	0
0	297
1	0
1	10
0	36
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
4	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
