"","baseMean","log2FoldChange","lfcSE","pvalue","padj","geneName","symbol"
"ENSMUSG00000031842.16",214.353178676869,5.47821119363247,0.352594790580117,5.38448050161163e-55,6.35745612825285e-51,"phosphodiesterase 4C, cAMP specific","Pde4c"
"ENSMUSG00000019970.16",213.699671809491,-3.57521021082999,0.236488169480496,9.52579960474515e-53,5.6235557966613e-49,"serum/glucocorticoid regulated kinase 1","Sgk1"
"ENSMUSG00000038807.20",202.279170576464,4.70664116922175,0.322644395611148,7.94768319757106e-49,3.12794318379072e-45,"RAP1 GTPase activating protein 2","Rap1gap2"
"ENSMUSG00000001506.11",461.303141950791,-6.37837555369382,0.46004053006321,8.31623779844181e-45,2.45474549215506e-41,"collagen, type I, alpha 1","Col1a1"
"ENSMUSG00000028737.16",338.707389848138,2.73830701523336,0.201850783235699,4.11390939292714e-43,9.71458564045815e-40,"aldehyde dehydrogenase 4 family, member A1","Aldh4a1"
"ENSMUSG00000020782.19",510.384982978462,2.84482330748959,0.210694686451689,1.0118575045899e-42,1.99116692611549e-39,"LLGL2 scribble cell polarity complex component","Llgl2"
"ENSMUSG00000044254.7",233.582089004548,7.32755594675572,0.53530049642786,4.07849885212867e-42,6.87926227815474e-39,"proprotein convertase subtilisin/kexin type 9","Pcsk9"
"ENSMUSG00000024924.15",1345.31719262308,2.6226810279725,0.19733876685267,1.55347365832897e-41,2.29273293548627e-38,"very low density lipoprotein receptor","Vldlr"
"ENSMUSG00000033420.13",399.447979100373,-5.98738455989628,0.459114129542818,7.69702770024059e-40,1.00976451174156e-36,"anthrax toxin receptor 1","Antxr1"
"ENSMUSG00000055538.8",375.217007011645,-4.47176037273369,0.351640273909605,3.15197738593695e-38,3.72153969957575e-35,"zinc finger, CCHC domain containing 24","Zcchc24"
"ENSMUSG00000032278.12",164.698287292626,6.76485986748937,0.526228242792865,5.80879884736767e-38,6.23495345371546e-35,"progestin and adipoQ receptor family member V","Paqr5"
"ENSMUSG00000022419.17",140.511662872354,4.43539093108761,0.352261797396918,2.50293948805048e-37,2.462683877951e-34,"DEP domain containing MTOR-interacting protein","Deptor"
"ENSMUSG00000050359.8",210.49333493142,4.41021235207926,0.355127398362809,1.4901702905718e-36,1.35341850929087e-33,"small proline-rich protein 1A","Sprr1a"
"ENSMUSG00000022123.10",165.055358401695,4.20352352912599,0.347717578064488,8.35656618831129e-35,7.04756978467082e-32,"sciellin","Scel"
"ENSMUSG00000019929.17",238.811303519394,-7.05094031268843,0.580919602136309,1.68396033943667e-34,1.32550131518191e-31,"decorin","Dcn"
"ENSMUSG00000042284.11",517.299050894097,3.89828890897931,0.332697934516773,6.38617903418163e-33,4.71260099103641e-30,"integrin alpha 1","Itga1"
"ENSMUSG00000029032.13",101.897910719108,4.05271154556062,0.352439905896058,1.34800117210469e-31,9.20564540416341e-29,"Rho guanine nucleotide exchange factor (GEF) 16","Arhgef16"
"ENSMUSG00000026380.11",117.658648222024,5.29370007607847,0.458560595814938,1.40341845748235e-31,9.20564540416341e-29,"transcription factor CP2-like 1","Tfcp2l1"
"ENSMUSG00000021662.12",780.623937423758,2.33506054601829,0.205409826649539,3.72510772552666e-31,2.31486036396281e-28,"Rho guanine nucleotide exchange factor (GEF) 28","Arhgef28"
"ENSMUSG00000046743.7",232.649418406485,-7.7480291163062,0.67558490140078,1.60328552511694e-30,9.46499609752788e-28,"FAT atypical cadherin 4","Fat4"
"ENSMUSG00000027831.10",192.118534754922,3.45469030717238,0.312356273089829,9.38212774359513e-30,5.27498963183942e-27,"ventricular zone expressed PH domain-containing 1","Veph1"
"ENSMUSG00000026837.17",448.71412867633,-2.8715860378076,0.263980256285954,7.7707422601481e-29,4.17041608479857e-26,"collagen, type V, alpha 1","Col5a1"
"ENSMUSG00000056870.10",189.256201153739,-2.61925764361018,0.243980239020983,4.082143959792e-28,2.09555972753322e-25,"GULP, engulfment adaptor PTB domain containing 1","Gulp1"
"ENSMUSG00000057614.7",146.6453718622,7.07497256256537,0.64312901196176,5.15030363104252e-28,2.53373479048829e-25,"guanine nucleotide binding protein (G protein), alpha inhibiting 1","Gnai1"
"ENSMUSG00000028518.9",96.1019622659015,3.94895341866082,0.367885710779768,6.64183266688502e-28,3.13680473191646e-25,"protein kinase, AMP-activated, alpha 2 catalytic subunit","Prkaa2"
"ENSMUSG00000018593.14",2415.43436512253,-1.34767895304504,0.128181372732619,6.38491239336746e-27,2.88906763687798e-24,"secreted acidic cysteine rich glycoprotein","Sparc"
"ENSMUSG00000074415.15",113.006200167208,-5.67610327211434,0.54332054647668,6.60665928649999e-27,2.88906763687798e-24,"Mir100 Mirlet7a-2 Mir125b-1 cluster host gene","Mir100hg"
"ENSMUSG00000032908.10",117.684368975503,6.74053254609554,0.629256065509472,1.38565435586546e-26,5.84300749275125e-24,"sphingosine-1-phosphate phosphatase 2","Sgpp2"
"ENSMUSG00000006345.11",85.5104958640866,4.58992125405969,0.456326127348514,7.45059843139351e-25,3.03342123032632e-22,"gamma-glutamyltransferase 1","Ggt1"
"ENSMUSG00000031881.7",956.498145937996,8.29246089576976,0.846896747638988,6.5607646652076e-24,2.5820982800702e-21,"cadherin 16","Cdh16"
"ENSMUSG00000026255.16",139.156862653436,7.51932021895463,0.736738254977603,6.81045481270612e-24,2.5939045152781e-21,"EF hand domain containing 1","Efhd1"
"ENSMUSG00000019966.19",138.302145575164,2.97951781202433,0.306456198410131,1.53527076759338e-23,5.66466936030471e-21,"kit ligand","Kitl"
"ENSMUSG00000000915.16",415.240652874715,2.41936962658845,0.250592466607197,2.95406158377e-23,1.05692742786583e-20,"huntingtin interacting protein 1 related","Hip1r"
"ENSMUSG00000072235.7",2006.40329184581,-2.35298361966615,0.246516144197922,7.74337384522147e-23,2.68900044089794e-20,"tubulin, alpha 1A","Tuba1a"
"ENSMUSG00000022265.8",187.084491241408,-2.38684910268095,0.252282102825512,1.65466776671091e-22,5.58190352044448e-20,"progressive ankylosis","Ank"
"ENSMUSG00000004771.13",469.678535370799,1.6067925929125,0.171337092926038,4.94704618610437e-22,1.62249373109262e-19,"RAB11A, member RAS oncogene family","Rab11a"
"ENSMUSG00000020961.16",139.774176540666,3.38433010166956,0.365318589473556,1.15310480474375e-21,3.67965092692147e-19,"stonin 2","Ston2"
"ENSMUSG00000034220.8",541.405132251294,-1.66484156320486,0.179768214384331,1.42591771364298e-21,4.43047643289019e-19,"glypican 1","Gpc1"
"ENSMUSG00000022887.10",79.5850534106705,-5.57953517278135,0.602865992438302,4.29606200010889e-21,1.30060523167399e-18,"mannan-binding lectin serine peptidase 1","Masp1"
"ENSMUSG00000037370.14",100.350634518909,2.85646515311354,0.31481609049389,7.21661040204289e-21,2.13016297542301e-18,"ectonucleotide pyrophosphatase/phosphodiesterase 1","Enpp1"
"ENSMUSG00000034295.11",326.40536066987,2.26394549678008,0.250636039140895,1.0229472676418e-20,2.91505907049962e-18,"formin homology 2 domain containing 3","Fhod3"
"ENSMUSG00000006800.15",85.420397827535,-6.54033836464392,0.700942497246504,1.03694825917662e-20,2.91505907049962e-18,"sulfatase 2","Sulf2"
"ENSMUSG00000035910.16",121.036234575482,7.6917334917897,0.85803520516652,2.86643879416172e-20,7.87070763782963e-18,"doublecortin domain containing 2a","Dcdc2a"
