"","baseMean","log2FoldChange","lfcSE","pvalue","padj","geneName","symbol"
"ENSMUSG00000031842.16",213.936868402607,5.47344407046999,0.351847552473155,4.04990715499317e-55,4.78091539646944e-51,"phosphodiesterase 4C, cAMP specific","Pde4c"
"ENSMUSG00000019970.16",213.711809179276,-3.57550905913634,0.235930294361805,5.43951757565941e-53,3.21067524903296e-49,"serum/glucocorticoid regulated kinase 1","Sgk1"
"ENSMUSG00000038807.20",201.866327670542,4.70249623077669,0.322868410405542,1.0835302371726e-48,4.26369148327418e-45,"RAP1 GTPase activating protein 2","Rap1gap2"
"ENSMUSG00000001506.11",462.927657506604,-6.38240325436999,0.462211121230052,1.71681132627306e-44,5.06673942666337e-41,"collagen, type I, alpha 1","Col1a1"
"ENSMUSG00000028737.16",338.952329700667,2.7414880065978,0.201202558511659,1.82207139569261e-43,4.30191056523025e-40,"aldehyde dehydrogenase 4 family, member A1","Aldh4a1"
"ENSMUSG00000020782.19",511.076881645628,2.85106575638446,0.209421030696355,2.21326273202091e-43,4.35459442525113e-40,"LLGL2 scribble cell polarity complex component","Llgl2"
"ENSMUSG00000044254.7",233.603127574345,7.32958200151573,0.53541897425258,3.82944789222417e-42,6.45809033824377e-39,"proprotein convertase subtilisin/kexin type 9","Pcsk9"
"ENSMUSG00000024924.15",1347.50920502052,2.62833158256661,0.198482030988519,2.94580711547495e-41,4.34690662477273e-38,"very low density lipoprotein receptor","Vldlr"
"ENSMUSG00000033420.13",399.097325440747,-5.98258784053475,0.461455256444771,2.03892297121797e-39,2.67438729724757e-36,"anthrax toxin receptor 1","Antxr1"
"ENSMUSG00000032278.12",165.14102725339,6.77310568646712,0.523884322090966,2.44064219574784e-38,2.88117811208032e-35,"progestin and adipoQ receptor family member V","Paqr5"
"ENSMUSG00000055538.8",374.728887101634,-4.4679973494409,0.352103834451985,4.46693331742182e-38,4.79383161928769e-35,"zinc finger, CCHC domain containing 24","Zcchc24"
"ENSMUSG00000022419.17",140.440015607122,4.43299155395679,0.352790740731945,3.44942695470677e-37,3.3047612803024e-34,"DEP domain containing MTOR-interacting protein","Deptor"
"ENSMUSG00000050359.8",210.694330924513,4.41699405541599,0.352402792567035,3.63929662379765e-37,3.3047612803024e-34,"small proline-rich protein 1A","Sprr1a"
"ENSMUSG00000022123.10",164.897111318179,4.19997681064355,0.347903062974328,1.0120827979264e-34,8.53402673537223e-32,"sciellin","Scel"
"ENSMUSG00000019929.17",237.772939515893,-7.03730554892652,0.58154090194376,2.67205711091141e-34,2.10290894628728e-31,"decorin","Dcn"
"ENSMUSG00000042284.11",518.754406493247,3.903396460145,0.335509286180302,1.66333812418516e-32,1.22723165975036e-29,"integrin alpha 1","Itga1"
"ENSMUSG00000029032.13",102.025678485252,4.05700296053139,0.351719008281648,8.99123178284284e-32,6.24361712920351e-29,"Rho guanine nucleotide exchange factor (GEF) 16","Arhgef16"
