"","baseMean","log2FoldChange","lfcSE","pvalue","padj","geneName","symbol"
"ENSMUSG00000064201.9",2402.22066672618,4.43002481710631,0.248958755912342,3.19949657566366e-72,4.05376216136586e-68,"keratin 2","Krt2"
"ENSMUSG00000070034.14",523.913238492129,-7.27109533810939,0.42352207023043,3.08366407356442e-66,1.95350119060306e-62,"Sp110 nuclear body protein","Sp110"
"ENSMUSG00000033191.15",430.695784366055,-3.42448027085167,0.219577241720803,3.99165439131318e-56,1.68580870459793e-52,"tyrosine kinase with immunoglobulin-like and EGF-like domains 1","Tie1"
"ENSMUSG00000039578.18",279.740650523218,-5.5493875079981,0.423828876449645,8.85667528195631e-41,2.80535189555966e-37,"coiled-coil serine rich 1","Ccser1"
"ENSMUSG00000025815.14",132.34401286005,-4.0732896051091,0.336616467352244,6.21844133216476e-35,1.57575303357055e-31,"dehydrogenase E1 and transketolase domain containing 1","Dhtkd1"
"ENSMUSG00000046605.15",141.626548038543,-3.74894857894345,0.32636139894317,9.80999594846574e-32,2.07154414445102e-28,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1","B3gntl1"
"ENSMUSG00000032204.14",215.450259317442,-2.83016925486892,0.265473830625684,9.35972061318499e-28,1.69410943098648e-24,"aquaporin 9","Aqp9"
"ENSMUSG00000038598.10",162.978273425294,-6.38327375602323,0.600978244600673,3.90572586538455e-27,6.18569333930278e-24,"shortage in chiasmata 1","Shoc1"
"ENSMUSG00000026450.15",1158.08547161151,-2.06909521818657,0.198334415488531,1.09034644826333e-26,1.53496549994404e-23,"chitinase 1 (chitotriosidase)","Chit1"
"ENSMUSG00000037851.14",472.962457583437,-2.4137030392861,0.238452491597088,2.15921895672806e-25,2.73573041817445e-22,"isoleucine-tRNA synthetase","Iars"
"ENSMUSG00000039063.6",99.3871032244377,-3.83814988619049,0.379122454752535,2.5509156560994e-25,2.93819103297994e-22,"enoyl Coenzyme A hydratase domain containing 3","Echdc3"
